Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Enrolled,Review,Total Course Duration (Days),Is Paid,Difficulty Level
MITx,6.004.1x,2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,15530,805,127,No,Moderate
MITx,15.071x,2015,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",26776,3101,649,No,High
MITx,16.00x,2015,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Jeffrey Hoffman,"Science, Technology, Engineering, and Mathematics",13525,885,121,No,Moderate
MITx,6.00.2x,2015,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,14835,1656,159,No,Moderate
HarvardX,HLS3x,2015,JuryX: Deliberations for Social Change,Charles Nesson,"Government, Health, and Social Science",4091,379,6,No,Moderate
MITx,7.28.1x,2015,Molecular Biology: DNA Replication and Repair,"Stephen Bell, Tania Baker","Science, Technology, Engineering, and Mathematics",7723,430,99,No,High
HarvardX,AMPOx.4,2015,Poetry in America: Emily Dickinson,Elisa New,"Humanities, History, Design, Religion, and Education",5261,348,20,No,Low
MITx,15.662x,2015,The American Dream for the Next Generation,Thomas Kochan,"Government, Health, and Social Science",5084,277,21,No,Low
HarvardX,PH525.4x,2015,Introduction to Bioconductor,Rafael Irizarry,"Government, Health, and Social Science",4785,453,29,No,Moderate
MITx,15.390.1x,2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",25206,715,64,No,Moderate
MITx,11.127x,2015,Design and Development of Games for Learning,Eric Klopfer,"Humanities, History, Design, Religion, and Education",15282,513,36,No,Moderate
MITx,JPAL 101x,2015,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",3922,404,34,No,Moderate
MITx,3.15x,2015,"Electrical, Optical and Magnetic Materials and Devices",Caroline Ross,"Science, Technology, Engineering, and Mathematics",10626,113,31,No,High
HarvardX,PH525.5x,2015,"Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",4262,377,13,No,High
HarvardX,PH525.6x,2015,"Data Analysis for Genomics: Case study, Variant Discovery and Genotyping",Rafael Irizarry,"Government, Health, and Social Science",2428,209,8,No,High
HarvardX,PH525.7x,2015,"Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",2250,252,4,No,High
HarvardX,PH525.8x,2015,"Data Analysis for Genomics: Case study, DNA Methylation Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",2656,226,5,No,High
MITx,15.390.2x,2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",6137,184,12,No,Moderate
HarvardX,BUS5.1x,2015,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",9185,183,13,No,Moderate
HarvardX,AMPOx.5,2015,Poetry in America: The Civil War and Its Aftermath,Elisa New,"Humanities, History, Design, Religion, and Education",2479,196,7,No,Moderate
HarvardX,GSE3x,2015,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",8286,807,20,No,Moderate
MITx,CTL.SC1x,2015,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",19996,1392,345,No,Moderate
MITx,8.MECHCx,2015,Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",8088,168,68,No,High
MITx,UINOV8x,2015,User Innovation: A Path to Entrepreneurship,Eric von Hippel,"Government, Health, and Social Science",41361,1232,70,No,Moderate
MITx,18.01.1x,2015,Calculus: Differentiation,David Jerison,"Science, Technology, Engineering, and Mathematics",18266,658,218,No,High
MITx,15.071x,2015,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",31551,1950,547,No,High
MITx,24.118x,2015,Paradox and Infinity,Augustin Rayo,"Humanities, History, Design, Religion, and Education",12426,699,84,No,Moderate
MITx,6.00.1x,2015,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,53964,5243,895,No,Low
MITx,0.111x,2015,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Felice Frankel,"Science, Technology, Engineering, and Mathematics",6934,126,16,No,Moderate
HarvardX,MCB63x,2015,Principles of Biochemistry,"Alain Viel, Rachelle Gaudet","Science, Technology, Engineering, and Mathematics",31710,789,90,No,Moderate
HarvardX,SPU27x,2015,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",48922,504,68,No,Moderate
MITx,10.03x,2015,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Stacy Springs","Government, Health, and Social Science",4404,638,42,No,High
MITx,11.133x,2015,Implementation and Evaluation of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",4518,471,12,No,Moderate
MITx,7.28.1x,2015,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",5725,209,44,No,High
HarvardX,USW30x,2015,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",4794,353,11,No,Moderate
MITx,6.00.1x,2015,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,54361,3411,568,No,Low
MITx,6.004.1x,2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Wachman",Computer Science,16094,377,97,No,Moderate
HarvardX,HKS101A,2015,Introduction to American Government,Thomas Patterson,"Government, Health, and Social Science",16005,623,63,No,Low
MITx,3.091x,2015,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",4767,99,42,No,Low
MITx,3.032.1x,2015,Mechanical Behavior of Materials: Linear Elastic Behavior,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",6577,445,40,No,Moderate
MITx,15.671x,2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",23087,1606,166,No,Moderate
HarvardX,VJx,2015,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",2175,330,12,No,Moderate
HarvardX,HUM1.1x,2015,History of the Book: Making and Meaning in the Medieval Manuscript,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",4033,460,11,No,Moderate
HarvardX,HUM1.2x,2015,History of the Book: Scrolls in the Age of the Book,Tom Kelly,"Humanities, History, Design, Religion, and Education",2085,390,5,No,Moderate
HarvardX,HUM1.3x,2015,"History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",Ann Blair,"Humanities, History, Design, Religion, and Education",1732,361,4,No,Moderate
HarvardX,HUM1.4x,2015,History of the Book: The History of the Book in the 17th and 18th Century Europe,Robert Darnton,"Humanities, History, Design, Religion, and Education",2587,502,6,No,Moderate
HarvardX,HUM1.5x,2015,History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public,Leah Price,"Humanities, History, Design, Religion, and Education",2862,443,3,No,Moderate
HarvardX,HUM1.6x,2015,"History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",Dan Smail,"Humanities, History, Design, Religion, and Education",1602,243,6,No,Moderate
HarvardX,HUM1.7x,2015,"History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script",Beverly Kienzle,"Humanities, History, Design, Religion, and Education",670,191,3,No,Moderate
HarvardX,HUM1.8x,2015,History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",1472,189,7,No,Moderate
HarvardX,HUM1.9x,2015,History of the Book: Books in the Medieval Liturgy,Tom Kelly,"Humanities, History, Design, Religion, and Education",1698,330,5,No,High
MITx,14.74x,2015,Foundations of Development Policy: Advanced Development Economics,"Abhijit Vinayak Banerjee, Esther Duflo, Benjamin Olken","Government, Health, and Social Science",7532,360,77,No,High
MITx,8.421.1x,2015,Atomic and Optical Physics: Resonance,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",6129,199,19,No,Moderate
MITx,4.605x,2015,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",5724,498,77,No,Moderate
MITx,16.101x,2015,Introduction to Aerodynamics,David L. Darmofal,"Science, Technology, Engineering, and Mathematics",18732,66,51,No,Moderate
MITx,6.002.1x,2015,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",38119,591,174,No,Moderate
MITx,6.002.2x,2015,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",6146,171,29,No,Moderate
