course_id,Title,Overall_Rating,Topic,Instructor,Video_Duration_Hr,Is Paid,Price
127,2021 Video Marketing & Advertising Via Effective YouTube Ads,4.4,YouTube Marketing,Alex Genadinik,3.5,YES,78.98
128,Ultimate Beginnerâ€™s Guide to Photography Entrepreneurship,4.6,Entrepreneurship Fundamentals,Eric Kim,5,YES,128.98
129,Advertising Strategy For Online And Offline Business,5,Advertising Strategy,Eric Yeboah,1,YES,108.98
130,Digital Audio Fundamentals,4.7,Digital Audio,Akash Murthy,3,YES,29.98
131,Confidence: How to build a robust self-confidence for sport,5,Confidence,Roberto Forzoni,1,YES,29.98
132,Level 3 Teacher Training Diploma Stability & Balance,0,Teacher Training,Zayra Mo,6,YES,128.98
133,Dropshipping with Shopify | Selling Online Worldwide,4.9,Shopify Dropshipping,Khalid Hussain,6,YES,44.98
134,Photography - Become a Better Photographer - Part II,4.8,Photography,Bernie Raffe AMPA,4.5,YES,44.98
135,How to Improve Your Marriage in 40 Days: A Course for Men,5,Marriage,Charles David Hanna,1.5,YES,29.98
136,How to Buy Your First Rental House,4.8,Real Estate Investing,Dennis Fassett,12,YES,40.98
137,The Western Art of Frederic Remington,5,Art History,Federico von Borstel,2,YES,128.98
138,U.S. Residential Mortgage Business,4.3,Mortgage,Starweaver Team,7.5,YES,34.98
139,Exhale Stress Inhale Zen,4.5,Mindfulness,Mary Ann Stancel,1.5,YES,34.98
140,Techniques to Cope With & Reduce Stress,5,Stress Management,Alan Eisenberg,1,YES,40.98
141,Public Relations for Small Businesses and Entrepreneurs,0,Unknown,Dominique Fields,1,YES,59.98
142,Martial Arts Dim Mak,4.3,Martial Arts,Paul Brecher,0.716666666666666,YES,34.98
143,Content Marketing,4.3,Unknown,Steven Matt,0.533333333333333,YES,29.98
144,Talking to Your Employees About Stress at Work,4.7,Stress Management,Deborah Grayson Riegel,1.5,YES,108.98
145,Audition for Voice Over Jobs Like a Pro,5,Voice-Over,Trevor O'Hare,0.55,YES,68.98
146,Lean Six Sigma - Yellow Belt Course with Certification,4.8,Lean Six Sigma Yellow Belt,Dean Westbrook,3.5,YES,29.98
147,Facebook Group Marketing Mastery 2021,4,Facebook Groups,Henry Zhang,0.566666666666666,YES,108.98
148,30-Day Marketer PRO Training Course (Digital Marketing),5,Unknown,Denzel Beauchamp,7.5,YES,40.98
149,Selenium WebDriver Masterclass with C#,4.3,Selenium WebDriver,Nikolay Advolodkin,28.5,YES,138.98
150,Illustrator 2021 MasterClass,4.6,Adobe Illustrator,Martin Perhiniak,13,YES,128.98
151,Copywriting for Beginners Part 2 of 3: Headlines & Openers,4.4,Copywriting,Alan Sharpe,1,YES,59.98
152,Diploma in Information System Audit (DISA)- ICAI,4.2,Information Security,Hemang Doshi,0,YES,29.98
153,How To Sculpt Your Own Earth Oven: For Home or Business,4.5,Cooking,im Simpl,2.5,YES,55.98
154,Your Daily Belly Dance Break,4.6,Belly Dancing,Vanessa Naja,1.5,YES,44.98
155,Understanding Dysphagia: Complete Dysphagia Awareness Course,5,Medical Imaging,Alpha Academy,1.5,YES,29.98
156,Web Content Avalanche: Content Marketing Course For Creators,0,Web Content,Nathan Conner,4,YES,128.98
157,Sound Engineering Level 2 - EQ (Equalizer),4.7,Audio Equalization,Liam Davin,3.5,YES,88.98
158,Introduction to Equine Assisted Psychotherapy,4.7,Psychotherapy,Wendy L,0.666666666666666,YES,68.98
159,Learn The Basics Of Photoshop From A Press Photographer,4.6,Photoshop,Chris Harvey,2,YES,29.98
160,Forex Trading Made Easy as ABC - With LIVE Examples Part 2,5,MetaTrader,Joseph Siaw,1,YES,29.98
161,Health and Care Tips for Cat Owners,0,Pet Care,Courses ABC,2,YES,29.98
162,Speed Typing course:  master Touch Typing and shortcut keys,4.6,Typing,Valentin Ilicea,2,YES,59.98
163,Building Creative Confidence,0,Creativity,Institute of Product Leadership,1,YES,49.98
164,How to Use Facebook Advertising to Grow Your Business,4.2,Facebook Ads,Bryan Guerra,7.5,YES,128.98
165,Tensorflow and Keras For Neural Networks and Deep Learning,5,Deep Learning,Minerva Singh,7.5,YES,138.98
166,Active Listening: You Can Be a Great Listener,4.5,Listening Skills,Lauren Powers,2.5,YES,108.98
167,Agile Scrum Training: Scrum Master+Agile Project Management,4.5,Agile,"Umer Waqar, PMP",2.5,YES,128.98
168,The Complete Instagram Marketing Course - 6 Courses In 1,3.4,Instagram Marketing,James Canzanella,1.5,YES,128.98
169,Marketing 101 for Groomers,4.8,Marketing Plan,Sarajenie Smith,1,YES,29.98
170,Microdermabrasion course,4.3,Skincare,Yuliya Tkachenko,1,YES,44.98
171,Chemistry Course: Kick-start your A-level Chemistry or IB,5,Chemistry,Faye Carlisle,1,YES,29.98
172,A Color Story,0,Acrylic Painting,DENISE LOVE,5.5,YES,59.98
173,Mastering IBM Blueworks Live,0,Unknown,Matthew Oatts,4.5,YES,128.98
